,Unnamed: 0,state_code,latitude,longitude,zip_code,id,city,Unnamed: 6,name,labels,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
age_first_milestone_year,0.13561373024917034,0.09079374938985874,0.07199960815521343,0.0516736980633268,0.03530416079362504,0.13522109318649997,0.005982429611698065,0.11086475683324329,0.0006269992131126589,0.16227935692664328,0.24958837452453322,0.13109338219773617,0.005000371378980063,0.033968279786847445,0.5935262956756653,0.6875150718680095,1.0,0.7774841700222526,0.2453639949004696,0.19520667821852483,0.06389991074860728,0.054482188589355954,0.08990577361925742,0.03364900194249734,0.0958139228377556,0.045427045710471896,0.010817643570703398,0.003097569906171856,0.034410590846942146,0.15241265202068027,0.0906002123488375,0.034655659281837135,0.006352410266278849,0.0022129157753784986,0.09418871727903978,0.08593968937748174,0.06795714559537726,0.06336658946508274,0.03164689119594669,0.13522109318649997,0.1095659845835532,0.2789602635764042,0.014977409332613746,0.1908237191154243,0.20907618731577335,0.2531210416896129,0.05570447185301767,0.15532909909640463,0.16227935692664316
age_last_milestone_year,0.13169811114117605,0.07858988742617697,0.054274973856967376,0.08770063161432667,0.0705115675634249,0.13192629533126013,0.002698883600758572,0.22539850744192685,0.012406514044559393,0.2658705105325454,0.18215614711817116,0.22057378041952752,0.003996468737305146,0.004251382502790372,0.47202945468538443,0.6320986702555741,0.7774841700222526,1.0,0.34853365258531677,0.2620556141077522,0.09352944556731811,0.3332435004518209,0.07465533078751067,0.06021655458852273,0.09280128296121225,0.028026161673143434,0.013938003467798844,0.02971825312294218,0.058215122990354154,0.08050974562598508,0.020574676628786114,0.019087888561840474,0.0009495535549087925,0.01035463778250099,0.056627327010477214,0.10985268549296352,0.001892018926949765,0.0476020496062829,0.001842772399492645,0.13192629533126013,0.08958896734145197,0.24942723443994472,0.11330613300343222,0.26176699198365133,0.27881391858903243,0.25263623925439205,0.08348007649703415,0.20685890807331334,0.2658705105325454
relationships,0.079949940546741,0.09108633185699211,0.039198190209760994,0.0731967537625035,0.02840049489685635,0.07957767189769707,0.05388287977087852,0.18839118325760038,0.030612435955676875,0.36043364377099635,0.11363174015684514,0.2790916313346821,0.08550100332607583,0.006144926841068642,0.18781673434532892,0.0730804287344244,0.2453639949004696,0.34853365258531677,1.0,0.35888348255689007,0.09379009561539822,0.5138346275548132,0.08842748976639299,0.10575413825037519,0.04991182430581749,0.004688635004208429,0.012778823394950888,0.15784345792805557,0.07221387060373942,0.0877591934377794,0.04220709983377832,0.03405238792093903,0.0896212665093738,0.11081973321294403,0.01685082616691339,0.03103504981535846,0.06824837696353336,0.07828929880927377,0.07396253275364348,0.07957767189769703,0.028938428530062635,0.060624616843361956,0.31712996256125026,0.2850149673653228,0.25984224540946244,0.20748753171319712,0.1150611195874812,0.22220701292843645,0.36043364377099657
funding_rounds,0.11845610237678124,0.042807377914737106,0.0006594220117568516,0.02244656929925904,0.028051108118185432,0.11834805779009536,0.07771762097207896,0.1090469229222867,0.032600189674642364,0.2060494110303995,0.04380619125909961,0.16210810480520252,0.04894529735148036,0.031300549223172804,0.15547791435744351,0.3859988851649879,0.19520667821852483,0.2620556141077522,0.35888348255689007,1.0,0.11580035513853415,0.23016247358292935,0.043444153577779705,0.010257796577943542,0.007431127420689989,0.07952696028528652,0.018920616517502514,0.06279415897848194,0.09334922756712433,0.017969499058391424,0.09187136555206689,0.1042874368412234,0.07883941915655268,0.0008668954135023574,0.003951315405680638,0.05172302843601307,0.018320836588794836,0.028304457262357897,0.012769200284256777,0.11834805779009534,0.3348322487696764,0.010605934503698034,0.26059814625101313,0.44445389850521805,0.44092265052525575,0.32361989076545467,0.043043710240882764,0.2593448859649106,0.20604941103039962
funding_total_usd,0.06416902690991678,0.05122582479698932,0.0729414349560259,0.017969534770296544,0.05091431933668828,0.06425834524975896,0.027347453501764908,0.03900410934880543,0.04360758541655654,0.04017573356693331,0.03068267997017587,0.03020536673844501,0.01715650452073366,0.015727823301455862,0.046349677506271246,0.11637124761087181,0.06389991074860728,0.09352944556731811,0.09379009561539822,0.11580035513853415,1.0,0.01205636724330747,0.05122904792798228,0.02754458805604023,0.024488152357368183,0.005667446691748466,0.0039884709246400885,0.05776371263472759,0.023858448908898794,0.018932369522192596,0.030425834449872267,0.10738784224469253,0.010945509936609487,0.01501254136278742,0.011830223460979082,0.010789856537947529,0.02608179738109031,0.0018287561596000274,0.011932406916262402,0.06425834524975896,0.010060076153460116,0.05964978012430595,0.023720657592370083,0.020118713392383244,0.04540495015373887,0.04514614176705045,0.046250228404400844,0.04897810750016537,0.040175733566933325
milestones,0.0003380083115431842,0.019174798158708557,0.017708338102857702,0.01642013791803287,0.044656967972382826,0.00012586732204019575,0.012071946100397864,0.16624804465675003,0.04261826916950209,0.32826005231691313,0.20934423268371619,0.260790773120343,0.028058629558775118,0.0022114705518083643,0.2958943997032434,0.12290505692028279,0.054482188589355954,0.3332435004518209,0.5138346275548132,0.23016247358292935,0.01205636724330747,1.0,0.013684801683496799,0.03617210799921904,0.10479530594781739,0.017559095666130314,0.03286286232657008,0.1239085260821947,0.0027011472898414773,0.15603758924546393,0.17567201563367524,0.12742744769575645,0.0836569073045298,0.06485163647269675,0.0718921875065648,0.004819060639769361,0.1811038838564807,0.006833044120317585,0.1364822051792907,0.00012586732204019306,0.09333842650331906,0.12825547860340733,0.31998634736196013,0.19516192236739954,0.08532940468700136,0.020663092156285243,0.04353315328970747,0.17141230101890928,0.3282600523169129
state_code.1,0.05737751788929547,0.9948693767527201,0.34457222522778075,0.5494243529060292,0.5073681025296358,0.05794646285157566,0.21696527026007112,0.16871300268934525,0.03681797044693281,0.08265254977796015,0.07345008685486389,0.019859444340869687,0.06474844896183392,0.062478961007938566,0.044109288695381305,0.07730853548204639,0.08990577361925742,0.07465533078751067,0.08842748976639299,0.043444153577779705,0.05122904792798228,0.013684801683496799,1.0,0.8231776646122513,0.42457585681313464,0.04819217153284417,0.37948765001943524,0.43435567080364196,0.0005924468270988358,0.024815446429141085,0.002178678751692377,0.02668832904427265,0.03183126322628391,0.013327573340821958,0.0006662875215716638,0.0504667086500887,0.05205433705876005,0.02117557840179832,0.008618103974315039,0.05794646285157563,0.015950344954753164,0.07522804886224888,0.04437659525258913,0.1172140300436533,0.06747463145318897,0.08923920541564472,0.06273457055615841,0.1124669416782263,0.08265254977796015
is_CA,0.042446441195056264,0.8217418408421117,0.4174705870835415,0.7801220989270499,0.7364672623732604,0.042823529379232256,0.3535135325204181,0.2405931640246123,0.02468297170453592,0.07721700761508846,0.03365345353216414,0.007013362441971209,0.04386076414045068,0.07475160788924981,0.010800365734397861,0.0061896218836844825,0.03364900194249734,0.06021655458852273,0.10575413825037519,0.010257796577943542,0.02754458805604023,0.03617210799921904,0.8231776646122513,1.0,0.3806826995145414,0.33221607210828863,0.23075861674420645,0.5629526586284908,0.012978357305572643,0.03925751963794754,0.024051948619492246,0.0208093323350498,0.02827938088676704,0.0024890907347405278,0.04295066456503497,0.056023542588378133,0.023741734736277453,0.02222388644810717,0.031408421748021505,0.04282352937923227,0.06858689930832511,0.059741003301414415,0.07615149295583352,0.09333728159281703,0.07475209520697301,0.08300787409452129,0.06915786270460401,0.09867730455125333,0.07721700761508825
is_NY,0.03348536312623118,0.4268602501424601,0.2057473733844046,0.4498707372355609,0.6218023690793184,0.03400295538817225,0.02971914152921013,0.09719014913660683,0.09758239699169893,0.0599959282870211,0.13878071247343415,0.08431054331823912,0.020017600863949127,0.046922175428686264,0.12810218014200478,0.1433124715283111,0.0958139228377556,0.09280128296121225,0.04991182430581749,0.007431127420689989,0.024488152357368183,0.10479530594781739,0.42457585681313464,0.3806826995145414,1.0,0.11322473359836403,0.07864635428557233,0.19186357961912479,0.05120830170518048,0.09659647225806364,0.041790527800543084,0.000881710622119666,0.0426027006353867,0.06624254363186352,0.11831600518984632,0.04456464190524524,0.05240135462772713,0.02056878402508412,0.016157168524385798,0.03400295538817224,0.04760729774086994,0.14829807531570577,0.021333896633145076,0.06662788544971064,0.06182973091978413,0.06313223715419075,0.06839394133828602,0.015463341547608242,0.0599959282870212
is_MA,0.04302055329495854,0.04936517694362371,0.31801472961327903,0.4410307817644908,0.3923805216439178,0.04249827069102519,0.21541127305291058,0.14824080728282127,0.027798312335635178,0.08173497052375069,0.1094671808187141,0.05893753241805463,0.04962078670999121,0.022147608252921273,0.02027854903014342,0.09632464814186535,0.045427045710471896,0.028026161673143434,0.004688635004208429,0.07952696028528652,0.005667446691748466,0.017559095666130314,0.04819217153284417,0.33221607210828863,0.11322473359836403,1.0,0.06863349172344432,0.1674364631830787,0.03910839195367465,0.10430374229520298,0.030779350894887397,0.039204462193015474,0.02195419973920035,0.0064255448209369565,0.07680544283011309,0.005788267859586246,0.03905811334041339,0.04858773635658341,0.05505765174550452,0.04249827069102522,0.031772361532758205,0.07069711973493398,0.00132139554727556,0.0887965722278345,0.0686867987983269,0.03447546247381104,0.00484656276330089,0.08509467663482151,0.08173497052375082
is_TX,0.02146328558037494,0.3811832677680215,0.42388789113713,0.0661994024330571,0.05961145276538954,0.021509274609485183,0.30018978328748086,0.10592391316193923,0.019935472364576073,0.04530934449379844,0.019231521602553193,0.023467629363136518,0.00262388810793206,0.015595081375749473,0.03283762023664545,0.014965356323394142,0.010817643570703398,0.013938003467798844,0.012778823394950888,0.018920616517502514,0.0039884709246400885,0.03286286232657008,0.37948765001943524,0.23075861674420645,0.07864635428557233,0.06863349172344432,1.0,0.11630203918633784,0.03214387674673193,0.014509813545188393,0.022242500863907052,0.029635375993184686,0.05158993421644684,0.05859100669662145,0.030802909355735947,0.036430784798750365,0.0426997437782352,0.07886624815635318,0.06048246478651567,0.02150927460948518,0.007725381466690328,0.056007694828899,0.038045571607045275,0.04762021735250068,0.03956049703381201,0.037941468584401325,0.020728623422356037,0.026352163284539827,0.045309344493798503
is_otherstate,0.0022493827776608345,0.4372412189789525,0.33858951220482725,0.25780098701183873,0.10921528082583792,0.0026735365766388124,0.148515352769609,0.06128745496449887,0.013351201720347023,0.1690669561975556,0.0014455747022981517,0.10299148244956262,0.07258573531606011,0.046765744351546595,0.0810306813095371,0.029312985434691637,0.003097569906171856,0.02971825312294218,0.15784345792805557,0.06279415897848194,0.05776371263472759,0.1239085260821947,0.43435567080364196,0.5629526586284908,0.19186357961912479,0.1674364631830787,0.11630203918633784,1.0,0.010368787488590648,0.04342235339416863,0.0275353874060096,0.014369107042523565,0.05675025660682032,0.02819639595179491,0.07352821101720114,0.05588705931468063,0.006728343357969852,0.0304170682472373,0.021575142320651514,0.0026735365766388124,0.10289443466340616,0.03632576615559348,0.12878322577200849,0.10165719630911514,0.1082167862000039,0.055205818918553994,0.12822075241227682,0.15354361993621085,0.1690669561975557
category_code,0.004805726881484222,0.0024966075828738122,0.02474735045868748,0.01328347824578295,0.013283943047386452,0.005671229843872514,0.02157211764465247,0.0004256625540013467,0.004177659357180002,0.0037292642476681828,0.021684940980658658,0.009233946928468854,0.018971641254894478,0.007814091404662668,0.004393787834189742,0.04431782279312344,0.034410590846942146,0.058215122990354154,0.07221387060373942,0.09334922756712433,0.023858448908898794,0.0027011472898414773,0.0005924468270988358,0.012978357305572643,0.05120830170518048,0.03910839195367465,0.03214387674673193,0.010368787488590648,1.0,0.4080602517679506,0.5423452820664638,0.037503202573610596,0.2894199411410932,0.45071190692850915,0.17790002339086097,0.19364713177268708,0.2777189347076466,0.07121396388695735,0.03914504018074025,0.005671229843872506,0.042492067413030535,0.02946729542225844,0.05598049434590774,0.056816073496484945,0.06200777503453217,0.01990463804759556,0.011246684931082038,0.03401605491528198,0.003729264247668148
is_software,0.001366833141727491,0.023389176285349943,0.0016564471356631824,0.024856691258985823,0.002278792943320583,0.000997040084101088,0.002847059428556538,0.0006755853072375365,0.05116009458907709,0.012428896614321942,0.12362660709932752,0.003612356154574187,0.02751847966873333,0.013247852989764448,0.11679727795260904,0.1166697763083993,0.15241265202068027,0.08050974562598508,0.0877591934377794,0.017969499058391424,0.018932369522192596,0.15603758924546393,0.024815446429141085,0.03925751963794754,0.09659647225806364,0.10430374229520298,0.014509813545188393,0.04342235339416863,0.4080602517679506,1.0,0.19165178566513652,0.13637748437102074,0.13063282537300885,0.11961747256935257,0.10891631696660567,0.0743758922578096,0.08717439276232722,0.02545464628519192,0.30779990126830614,0.0009970400841010831,0.0441572373287956,0.1267636450111542,0.02764205529840745,0.07753557997198857,0.023164069360631975,0.02674275306510034,0.022242480114963128,0.03837572605962909,0.01242889661432196
is_web,0.007075521201655723,0.0036208253044913872,0.00979857940268595,0.02202362883866371,0.013814371906751777,0.006521366548604511,0.07051508392816477,0.05165934702885927,0.03677316137365821,0.0008730593541303165,0.1203926844753754,0.0026469940804325427,0.031075109418499343,0.003866430635040346,0.1666006816102235,0.2168860751675296,0.0906002123488375,0.020574676628786114,0.04220709983377832,0.09187136555206689,0.030425834449872267,0.17567201563367524,0.002178678751692377,0.024051948619492246,0.041790527800543084,0.030779350894887397,0.022242500863907052,0.0275353874060096,0.5423452820664638,0.19165178566513652,1.0,0.13153909196897712,0.1259982416463968,0.11537369088427125,0.10505219025316574,0.07173718870894238,0.0840816247622482,0.024551567835321763,0.296879794400851,0.006521366548604521,0.12075625439538089,0.15309018426636734,0.06467879568648602,0.10687487023303013,0.13097580301255363,0.08325493337494762,0.021497214554149737,0.11812285708721507,0.0008730593541302542
is_mobile,0.028278735953909465,0.027778539686926555,0.035917256598365636,0.013527159024985294,0.01536643721527176,0.028214748258677088,0.029365017838079214,0.027735042444988207,0.04849523973046915,0.007312472853709293,0.027325194978637883,0.02931486263371205,0.019879357438093808,6.735899660910102e-05,0.05465760807016495,0.010885956731869284,0.034655659281837135,0.019087888561840474,0.03405238792093903,0.1042874368412234,0.10738784224469253,0.12742744769575645,0.02668832904427265,0.0208093323350498,0.000881710622119666,0.039204462193015474,0.029635375993184686,0.014369107042523565,0.037503202573610596,0.13637748437102074,0.13153909196897712,1.0,0.0896590823366035,0.08209875880253238,0.07475408269571257,0.05104746244873863,0.059831639069301175,0.0174706489017323,0.21125667773174847,0.028214748258677088,0.06804900530936728,0.043437380051141214,0.037632796080366425,0.02392482369473367,0.005479216360452569,0.027480194896258723,0.030932550910814552,0.0400632023324755,0.007312472853709367
is_enterprise,0.04263969041242014,0.032891504883005136,0.002291154789570368,0.0032439623365067946,0.02459729811403899,0.04291212768270547,0.051041831958425,0.01929243098496448,0.010800262123029083,0.07377229844178095,0.08945230765240907,0.0644823529177207,0.02182939840844272,0.01587994803014635,0.04732564327462245,0.006886751292057492,0.006352410266278849,0.0009495535549087925,0.0896212665093738,0.07883941915655268,0.010945509936609487,0.0836569073045298,0.03183126322628391,0.02827938088676704,0.0426027006353867,0.02195419973920035,0.05158993421644684,0.05675025660682032,0.2894199411410932,0.13063282537300885,0.1259982416463968,0.0896590823366035,1.0,0.07864049459084277,0.07160519990339084,0.048897178874919144,0.057311337676952796,0.01673472888621565,0.20235786587714558,0.042912127682705456,0.044478352934927426,0.013029011532793957,0.04743190925476401,0.060594055279094776,0.009456028220973061,0.02309962135999743,0.013606154064437099,0.0093998335332613,0.07377229844178099
is_advertising,0.07513111348517958,0.012464862090112635,0.05457544341296643,0.03999765988054905,0.04676396238877471,0.07433042404211265,0.0764926042808473,0.08667541812912155,0.01902904580379447,0.04435485062095593,0.024980656818828283,0.0353879657453943,0.04556400094232645,0.022436563217524026,0.071336214183287,0.05683655190264097,0.0022129157753784986,0.01035463778250099,0.11081973321294403,0.0008668954135023574,0.01501254136278742,0.06485163647269675,0.013327573340821958,0.0024890907347405278,0.06624254363186352,0.0064255448209369565,0.05859100669662145,0.02819639595179491,0.45071190692850915,0.11961747256935257,0.11537369088427125,0.08209875880253238,0.07864049459084277,1.0,0.06556723404557542,0.04477402166023939,0.05247867328070704,0.015323606205305687,0.18529444189571578,0.07433042404211265,0.03895113225856733,0.04187203136346604,0.06489803724539511,0.014925121597760096,0.0057131279398196155,0.0603907436131803,0.025970369799550835,0.0460280917306488,0.044354850620955955
is_gamesvideo,0.06502026774574783,0.0014844081897206645,0.033159596226787914,0.02556905663978288,0.034719732303830374,0.06494680257902029,0.01012866679633238,0.05383445660035716,0.018524950618167425,0.0258927539217619,0.043581319316393245,0.053451277278252746,0.043624316236623994,0.002367031387867991,0.06378745998497125,0.0786738691679528,0.09418871727903978,0.056627327010477214,0.01685082616691339,0.003951315405680638,0.011830223460979082,0.0718921875065648,0.0006662875215716638,0.04295066456503497,0.11831600518984632,0.07680544283011309,0.030802909355735947,0.07352821101720114,0.17790002339086097,0.10891631696660567,0.10505219025316574,0.07475408269571257,0.07160519990339084,0.06556723404557542,1.0,0.040768471614286074,0.04778385373185753,0.013952733782774562,0.16871772770456267,0.06494680257902029,0.059716525373982136,0.040561659416766836,0.04302309169921003,0.01545260625014326,0.012368693721255538,0.002871980783655928,0.028481029334466848,0.0010108046207183516,0.02589275392176192
